name,price
Mix Paratha,25	
Poha,30	
Dahi Gol Gappe,50	
Dahi Samosa,30	
Chole Samose,50	
Samosa Bhujia,50	
Bun Samosa,20	
Chana Chaat Masala,50	
Bhel Puri,25	
Soya Chaap Roll,70	
Paneer Butter Masala,60	
Shahi Paneer,60	
Cheese Roll,35	
Aloo Tikki Chaat,50	
Peanut Chaat,50	
Egg Pakora,15	
Garlic Bread,60	
Samosa,10	
Bread Pakoda,10	
Chilly Potato (150gm),60	
Honey Chilly Potato (150gm),70	
French Fries (With Mayo) (150gm),40	
Masala Patties,20	
Cheese Patties,30	
Paneer Burst Patties,30	
Tandoori Cheese Patties,40	
Bun Omelet,30	
Bread Omelet,25	
Plain Omelet,20	
Cheese Chilly Toast,30	
Veg Burger,30	
Cheese Burger,40	
Tandoori Burger,50	
Tandoori Cheese Burger,60	
Veg & Liquid Cheese Sandwich,40	
Egg Sandwich,35	
Chowmein,30	
Special Cheesy Pasta (Large),50	
Momos (6 Pcs),30	
Cheesy Paneer Kulcha,40	
Maggi,30	
Fried Maggi (With Extra Masala),35	
Spring Roll,30	
Egg Roll (2 Eggs),50	
Paneer Roll,70	
Aloo Roll,40	
Aloo Tikki Roll,60	
Chilly Paneer (200gm),120	
Pao Bhaji,35	
Paneer Pao Bhaji (With Salad	 Butter),50
Paneer Bhujia,70	
Chole Kulche,30	
Chole Bhature (With Salads and Butter),50	
Paneer Fried Rice (Large),60	
Egg Fried Rice (3 Eggs),60	
Plain Fried Rice,35	
Cheese Burst Pizza,90	
Paneer and Cheese Burst Pizza,130	
Soup,30	
Tea,10	
Hot Milk (Full Cream) (Large),25	
Hot Coffee (Large),25	
Hot Flavoured Coffee (Large),35	
Mango Shake,30	
Banana Shake,30	
Milk Shake,30	
Strawberry Shake,30	
Chocolate Shake,30	
Pineapple Shake,30	
Cheeku Shake,30	
Cold Coffee,30	
Blueberry Shake,40	
Blackberry Shake,40	
Kitkat Shake,40	
Oreo Shake,40	
Chocolate Shake (Large),40	
Plain Paratha,10	
Aloo Paratha,15	
Aloo Pyaj Paratha,15	
Paneer Paratha,25	
Paneer Pyaj Paratha,20	
Egg Paratha (2 Eggs),30	
